Frequency MHz,Attenuation dBV,VoltsScaleFactor
0.0,0.0,1.0
10.0,0.0,1.0
20.0,0.0,1.0
30.0,0.0,1.0
40.0,0.0,1.0
50.0,0.0,1.0
60.0,0.06652806652806653,1.00768873438856
70.0,0.06652806652806653,1.00768873438856
80.0,0.13305613305613306,1.0154365854136178
90.0,0.0997920997920998,1.0115552419948648
100.0,0.08648648648648641,1.0100068618353348
110.0,0.06652806652806653,1.00768873438856
120.0,0.041247401247401325,1.0047600758992183
130.0,0.03392931392931379,1.0039138959877287
140.0,0.06652806652806653,1.00768873438856
150.0,0.06652806652806653,1.00768873438856
160.0,0.05588357588357594,1.0064545760101808
170.0,0.0,1.0
180.0,-0.0904781704781701,0.989637381435473
190.0,-0.14170478170478223,0.9838179926101462
200.0,-0.1995841995841996,0.9772840031952474
210.0,-0.2661122661122661,0.9698272589980264
220.0,-0.33264033264033266,0.9624274102721739
230.0,-0.3133471933471931,0.9645675345513983
240.0,-0.33264033264033266,0.9624274102721739
250.0,-0.4158004158004158,0.953256947588071
260.0,-0.55018711018711,0.9386218167979773
270.0,-0.5847817047817042,0.9348908618464429
280.0,-0.6340124740124745,0.9296069806834079
290.0,-0.5987525987525988,0.9333883372888314
300.0,-0.6985446985446986,0.9227260148917995
310.0,-0.7853638253638243,0.9135489204416899
320.0,-0.8695218295218294,0.904740243593935
330.0,-0.9313929313929314,0.8983185202351405
340.0,-0.8648648648648649,0.9052254527335527
350.0,-0.8316008316008316,0.9086988081249264
360.0,-0.8129729729729727,0.9106497052307051
370.0,-0.7983367983367984,0.912185490801385
380.0,-0.8648648648648649,0.9052254527335527
390.0,-0.9313929313929314,0.8983185202351405
400.0,-0.9413721413721414,0.8972870356286438
410.0,-0.997920997920998,0.8914642881069991
420.0,-0.997920997920998,0.8914642881069991
430.0,-1.0137062937062937,0.8898456573272748
440.0,-1.0311850311850312,0.888056808903078
450.0,-1.0644490644490645,0.8846623542416766
460.0,-1.130977130977131,0.877912319599829
470.0,-1.1975051975051976,0.8712137881868094
480.0,-1.3611642411642417,0.8549521089474942
490.0,-1.5301455301455302,0.8384800299580413
500.0,-1.6843696843696845,0.8237236131148099
510.0,-1.7962577962577964,0.8131807891787902
520.0,-1.8654469854469848,0.8067289659032607
530.0,-2.0227858627858626,0.7922471888743071
540.0,-2.131559251559251,0.7823877417562716
550.0,-2.3284823284823286,0.7648493176544359
560.0,-2.602577962577964,0.7410902538768704
570.0,-2.9724740124740143,0.7101928560996194
580.0,-3.3317255717255723,0.681418188161421
590.0,-3.6520582120582126,0.6567454753528152
600.0,-3.858627858627859,0.6413108787802788
610.0,-4.091476091476092,0.6243472388758351
620.0,-4.324324324324325,0.6078323128297229
630.0,-4.674594594594593,0.5838083070058823
640.0,-5.034178794178792,0.5601328717880698
650.0,-5.3255717255717245,0.5416533253306146
660.0,-5.521829521829522,0.5295518918427328
670.0,-5.760665280665282,0.5151891830478139
680.0,-6.144532224532226,0.4929165371164414
690.0,-6.6787525987526,0.46351348122893005
700.0,-7.185031185031185,0.43726874973267765
710.0,-7.6068191268191265,0.4165422356784327
720.0,-7.912848232848233,0.4021217726457325
730.0,-8.123409563409563,0.39249083660966844
740.0,-8.24948024948025,0.38683520157482515
750.0,-8.216216216216216,0.38831949052064046
760.0,-8.284074844074844,0.3852975591666538
770.0,-8.504282744282746,0.3756521361350542
780.0,-9.074428274428277,0.35178602786204455
790.0,-9.51850311850312,0.33425263844151837
800.0,-9.746361746361746,0.32559813804503795
810.0,-9.846153846153847,0.32187875118212356
820.0,-10.055051975051974,0.3142298233340463
830.0,-10.325488565488564,0.3045969650058051
840.0,-10.556673596673596,0.29659670375809666
850.0,-10.711018711018712,0.2913728382641484
860.0,-10.777546777546778,0.28914964345706023
870.0,-10.844074844074845,0.2869434117793417
880.0,-11.06960498960499,0.27958878739880794
890.0,-11.462453222453224,0.2672251557558804
900.0,-11.848648648648648,0.2556039538951307
910.0,-12.312349272349273,0.24231624832194748
920.0,-12.718835758835757,0.23123747159892366
930.0,-13.15027027027027,0.2200323243281667
940.0,-13.576382536382535,0.20949847848390923
950.0,-100.0,1e-05
960.0,-100.0,1e-05
970.0,-100.0,1e-05
980.0,-100.0,1e-05
990.0,-100.0,1e-05
1000.0,-100.0,1e-05
